comment,likes_count,is_reply
"Bapak Menkeu yang baru, tolong jangan sombong2 dulu. Buktikan kemampuan prioritas utama.",2200,False
Pesimis salah..optimis salah,121,True
@Cherrisekiss serba salah hidup di Konoha bro,71,True
"@Cherrisekiss soalnya ini di indonesia,kemungkinan terbaiknya sulit,klo kemungkinan terburuknya udah jelas",68,True
Ilmunya saja ga nyambung dengan bidangnya.,49,True
"kok sprt besar suara dulu,jangan"" nanti...?????",48,True
Mantab...Mentri baru sudah tau cara memperbaiki ekonomi indonesia..,28,True
@Bolangcahsragentinaasal bapak senang. Aman pokoknya.,6,True
@Bolangcahsragentinananti ky Noel,6,True
Buktikan korupsi nya aja.. Coba di lihat permainannya naikan pajak besar2an.. hahahaha,8,True
"Takut kalo sombong hasilnya nol dah,mending kerja dulu baru diapresiasi rakyat",62,True
Men song # songong amat Smoga lebih baik,6,True
bagus ini bro optimis bisa,11,True
"Energi optimis itu. Masa gitu aja dianggap salah?Pesimis salah,optimis salah. Lama lama lu kaligata,diare nyalahin ke pemerintah",14,True
Biasa masih baru menjabat semangat 45.,6,True
@koossarumdanie6687 S7 sekali..udh smbg dlu sblm bs terbukti..tp ternyata dia adlh prnh menjabat di rezim jkwi ktnya,6,True
Song kotong nyaring bunyinya,8,True
aku gak yakin dengan bapak ini.sepertinya awal kehancuran,17,True
Di ganti salah nggak d ganti salah,7,True
Orang baru dan semangat baru....minimal masih ada secercah harapan. Semoga sukses dan dimudahkan segala urusan pa Yudhi,15,True
Dari dulu ngomong itu gampang Yah ..... Kita tunggu tanggal mainnya aja deh...,7,True
"Benar juga, saya kaget juga untuk orang yang baru dilantik Semoga tidak omon omon",9,True
Berbaik sangka dulu lah,10,True
Bukan sombong tapi optimis. Kayaknya cukup pengalamannya. Kita apresiasi aja bung.,18,True
Liat aja nnti setahun lgi dia ditangkap KPK,7,True
"Tak semudah kata kata Broo jangan asal ngomong,",11,True
EMG jangan sombong dulu kaleee kalau dia mau memperbaiki ekonomi modal ngutang y percuma saja utang yg kemaren saja belum lunas masa mau nambah utangan baru pokoknya putar otak lah jangan sampai ngutang,7,True
Kira kira strategi pak Menkeu untuk mengisi Gentong Gendut APBN yang sudah di KURAS HABIS HABISAN untuk program program KERAKYATAN (katanya yg punya program sih begitu. ) apa yaaaa..?? INDONESIA SUDAH DI AMBANG KEBANGKITAN,1,True
sesuai dengan yang mengangkat sami mawon,4,True
"itu bukan Sombong tapi Beliau OPTIMIS, dan Meyakini kalo beliau itu bisa dan Mampu memperbaiki ekonomi..Mari Kita Tunggu saja kinerja Beliau.",14,True
Hrs optimis donk,2,True
Kurang percaya aku... Tapi coba kalau pak Basuki Tjahaja Purnama. Aku baru PERCAYA,6,True
@Miswanto-r3t pesimis amat jadi orang,2,True
"Itu dia.. Mau sy katakan kok agak tinggi nada nya.. Waduh kacau ini,, tp g apa apa di kasih ruang dululah..kita lihat aja",2,True
Awas hati2 klo korupsi lagi. Awas klo naikin pajak²,4,True
Jago ? Coba kita lihat hasilnya membuat rakyat sejahtera.,2,True
Doa terbaik... Semoga bisa memperbaiki keadaan ekonomi Indonesia. Hati hati jangan korupsi... Jangan kompromi dengan koruptor.,6,True
"Smoga membawa perekonomian indonesia lebih baik, selamat bekerja pak menkeu yang baru",4,True
Bukan sombong itu optimis dlm keadaan ekonomi yg sulit memang wajib,2,True
"Yaaa,,, lanjutkan",1,True
Betul...gak usah banyak bicara di media...kerja aja. Nanti kalo sudah sukses...baru muncul dan bicara. Nanti gagal...malunya berkali lipat.,4,True
@GoAhead33 maunya gimana sih apa lo aja yg jadi menkeu,4,True
Kenapa gak tunjuk dia dari dlu kalau mudah memperbaiki ekonomi..dari zaman jebot ekonomi gini2 aja,5,True
Kalau bisa diamini... Dikit2 disalahin. Kalau km jdi mentri keuangan paling nol putul,3,True
"Ya nanti kayak Sri Mul dulu, hutang aman..hutang aman, tp ternyata rakyat dicekik dg pajak2 yg tinggi",3,True
Kepedean boleh pak.ibu srimulyani ga kaleng kaleng,1,True
Halah.. Buzzer anarko tau apa...,2,True
Sedikit sombong itu pk... humble dong...,3,True
Percaya sj dulu jgn..klu pesimis anda tidur saja mimpi..,1,True
Suka banget karyawan yg optimis begini,2,True
"@GoAhead33 mudah""an gak salah pilih kayak beli lotre..",1,True
Betul,0,True
,0,True
Tggu gebrakanx..apa sesuai dg janjix,2,True
Baru jabat dah dapat amplop tebal blm,0,True
"Gantinya Srimul, Tim Bravo5 nya Luhut, dalam mendukung Jokowidodo..malah lebih parah nuansa politiknya",2,True
Woi masyarakat 62 liat dulu ajah doain nanti baru di edit....berinkesempatan masyarakat 62....jangan jadi bawel dan songong.,1,True
"Takut nya mentri yg baru ini blum tentu sebaik Sri Mulyani kerja nya, klau hanya omon” negri ini bisa hancur ekonomi kita.",1,True
"bawa dompet surga memang MEMBUAT KACAMATA KUDA MAKIN TEBAL apapun yg di buat pemerintah selalu NYIYIRAN dengan PESIMIS , bro pejabat publik ketika menunjukkan kapasitas kemampuan , pengalaman profesional itu hal yg positif dan pengaruh nilai rupiah dll ok BUANG DULU DOMPET SURGA BARI BISA LEPAS KACA MATAKUDA ENTE OK",1,True
Kalo ujung2nya pajak sama aja,5,True
Udah yakin aja. Gitu aja kok repot.,1,True
Menkeu harus seperti itu biar pasar tidak ragu ...,1,True
Sepemikiran ya,0,True
"Nggak ada yg benar bicara optimis salah apalagi pesimis , tujuan pergantian utk maksud yg lebih baik",2,True
Doain yg terbaik...,4,True
cerah brooo catet itu janjinya,3,True
Betul.. dia sombong banget! Gede omong doang tunggu saja apa dia bisa kerja kedepan,2,True
"@Bolangcahsragentinakalo kamu lebih hebat tunjukin dan muncul ke permukaan, blm kerja udah dipikir negatif, karakter orang beda2, kita berdoa dan bekerja, optimis dan positif, kita lihat kiedepan dan klo memang ada niat jahat pasti Tuhan munculkan kepermukaan",1,True
"Di kasih jabatan yah harus yakin dan optimis lah, biar pasar juga optimis , di kira pergantian mentri keuangan gak krusial apa ?",2,True
Okelah pak nti rakyat yg melihat,3,True
