comment,likes_count,is_reply
"kata temen di LPS, beliau kerja beneran. kadang bikin degdegan bawahannya. semoga Allah mudahkan pak",2500,False
LPS itu apa bro?,19,True
@nemnamsix Lembaga Penjamin Simpanan,58,True
"Amiin. Semoga indo bs cpt keluar dr Krisis, tercipta loker yg bnyk.",72,True
"Mudah2an, pertama dia bukan sales pinjaman bank dunia kedua dia bukan dr bangsa jawa",62,True
"@danilphi5252 yup buat point terakhir saya setuju, saya orang jawa, tepatnya jogja, jujur rata2 org jawa punya sikap yang saya sendiri kurang sreg, dimulut sama di hati itu bisa 180derajat, didepan muja2 dibelakang menghujat itu kyk emng bnyak yg begitu, niatnya mungkin tidak menyakiti, tp knapa gak sekalian dirubah prasangkanya supaya yg positif2 aja, knapa harus suka ngomongin dibelakang",95,True
"@fajarshidiq6038 kadang emang yg jelek harus dibilang jelek sih, kalo hal jelek di lapisi hal bagus malah ga sadar yg salah dimana Dan pak Purbaya dengan gaya selengean tapi punya arah yg cemerlang ini bagus, jarang ada petinggi terkhusus ring 1 punya daya pantau yg kritis kebanyakan pejabat ring 1 kaya robot semua",55,True
"Semoga Allah menolong bangsa ini, sehat selalu pak menteri & amanah.",18,True
"bener bro gw juga punya temen di LPS, dia salut banget sama ni bapak purbaya wkwk",28,True
"Aku adalah salah satu saksi atas kebaikan bapak Purbaya, karena suamiku tim melekat beliau. Ga cuma baik, pintar memang beliau selalu realistis dan apa adanya. Bener bener pimpinan yang ga cuma numpang nama, tapi bener bener terlihat kerjanya. cuma masalahnya sekarang kita mudah sekali tergiring opini media, untungnya pak Purbaya termasuk orang reflective atas kesalahan. Semoga beliau bisa membawa kebaikan untuk negara.",69,True
@desiarisandi5856 suaminya kerja di mana mbak ?,3,True
"Bos LPS ibarat beliau ini yg menjamin uang nasabah tetep aman kalo banknya failit, tp secara gk langsung jg ditakuti bank-bank wkk",13,True
,0,True
Aamiin,0,True
"@tiny334 loker itu byk kok, cm kdg sudah di ksh kerjaan aja msh milih"" ni rakyat",2,True
khawatirnya ada orang baik dilingkungan yang buruk ntar ujung2nya jadi kambing hitam. hari ini agak susah membedakan hitam dan putih,11,True
Aminn,0,True
"Semoga saja bukan teori, karna Indonesia butuh gebrakan nyata",4,True
Pinjol,1,True
"Klihatan beda Bpk ini, beda dr sri mulyani. Sri mulyani banyakan bicara formal. Ini lngsung bahasa teknis",15,True
Aamiin gaes,0,True
Cie buzzer,1,True
Amiiin ya Allah,0,True
"Intinya gak menghamba kpd IMF. Itu sdh bisa diandalkan dan diharapkan,",7,True
Aminnn,0,True
Org jujur berarti,0,True
@widtaninmas hmmmm gak salah juga ya,1,True
Aamiin ya Rabb..sayang ama indonesia..jd saya dengerin jg ni belajar coba dengerin.beliau,0,True
Yakin bs krj? Nyatanya di LPS berantakan sejak dia mimpin,1,True
"@widtaninmas betull loker banyak, orang indo aja yang manja masuk kerja langsung gaji gedhe. Pdhl semua butuh proses.",3,True
Aamiin Allahumma aamiin,0,True
Agak bahaya sih. Kalau ada yang gak seneng bakal gak panjang umur beliau di kementerian. Apalagi Kemenkeu ini cukup kritis posisinya buat negara.,0,True
"@CicaCicalove Jgn kau samakan pulau dgn bangsa. DI pulau ada tanha bangsa jawa, tanah bangsa Sunda, Tanah Bangsa Melayu Betawi, dan bangsa banten. Dan mereka merantau dapat tanah dari usaha sendir,Bukan kayak bangsa jawa hama, dapat lahan 2 ha (gratis, dikasih rumah, biaya hidup dlll oleh rejim jawanesia",0,True
lps dan lsm itu sama gak?,0,True
"Mungkin temennya abang temen gw juga wkkww ini real ngeri, detail banget orangnya",0,True
aamiin ya Rabb,0,True
Aamiiin,0,True
"Yups mudah""n, bukn dri bngsa luar jawa",0,True
"@nemnamsix wkwkw apanya yg belajar? Apa yg di lakukan purboyo itu pernah di lakukan NZ dan Suharto. Di NZ, setelah Covid, pemerintah cetak duit, di bagikan ke bank lalu di salurkan ke pengusaha, Oleh pengusaha, duit itu di larikan ke Australia. Sekarang kesulitan tuh bayar hutang. Apa bisa pajak di naikan ketika rakyat pada kabur ke negara lain? Hal yg sama dgn Suharto. Suharto cetak duit, lalu duitnya di bagikan ke bank2 yg kemudian di salurkan ke pengusaha. Pengusaha cukup bawa lari ke Singapura. Terjadilaha kasus BLBI. Taun itu suku bunga BLBI dari IMF saja sd Rp 2000 trilyun loh. Belum pokoknya. lah sekarang kok di ulang? wkwkwk",0,True
@widtaninmas betul terlalu kebanyakan nonton dakor rakyat Indonesia,1,True
@danilphi5252 kelahiran bogor bukan daerah jawa,0,True
"@gatotpriyodigdo3091 sdh tahu, ya bogor tanah lelhur bangsa sunda",0,True
"@andiiskandar2136 yoi, gnti rakyat aja lah yg bgituan",0,True
Yg pnting buktikan bkan janji utuk rkyat,0,True
berarti cacing cacing naga naga ya,0,True
"@danilphi5252 @klo dri bangsa Jawa emg knpa, ber arti ada diskriminasi",0,True
"Ayo dukung Pak Purbaya yg menghendaki dana negara dapat digunakan masyarakat luas menghidupkan perekonomian, bukan cuma dijadikan banjakan para pejabat garong",0,True
Aaamiiinnn,0,True
"Kalau biasanya bikin deg2an bawahannya, berarti beneran kerja",0,True
