comment,likes_count,is_reply
Pak Mentri stop Semua anggaran untuk Anggota DPR supaya bisa bayar Hutang Negara rakyat pasti Setuju,3300,False
"harus nya memang di stop. kerjanya cuman ngomong rapat ngomong rapat.... tak jelas... jenis kerja apa yg cuman rapat doang dikasi tunjangan walau out put nya belum tentu jelas ??? ya cuman dpr.... coba lu di swasta, gak ada orang dapat tunjangan untuk rapat doang....",174,True
Kenapa DPR diam pada waktu jokowi dn sri mulyani masih berkuasa,95,True
"harus banget kak,,,setuju pokoknya",32,True
Gas itu,17,True
Setujuuuuu pangkas tunjangan anggota DPR .rampas aset koruptor dilembaga DPR buat bayar hutang .jangan bisanya bertanya kapan dana itu akan keluar sementara punya hutang .jangan diberi tahu pak menku itu artinya apa tentu sudah tau lah taktik anggota DPR mau maling lagi,55,True
Ditemui rakyat malah kabur.. dicoret saja no bayar3 anggota dewan maling nasional parte mapia,24,True
SAYA TANDAI ORANG DPR YANG MENGHENTIKAN RAPAT TERSEBUT️ DIA NGELES DENGAN ALIBI BANYAK RAPAT YANG LAINNYA️ HAFALKAN ORANG INI UNTUK DI TELANJANGIN DI DEPAN PUBLIK SAMA SEPERTI DI NEGARA NEPAL️ TUNGGU PAK! TAKDIRMU SEBENTAR LAGI AKAN SEGERA TERWUJUD️,80,True
"Banyak pertanyaan, jarang memberi solusi dan saling mendukung.. Pertanyaan Banyak.. #Menkeu mikir 7 keliling.. Banyak tuntutan #Tunjangan..",12,True
Jaman SBY utang lunas malah ngutang lagi,23,True
Kelihatannya mencecar meteri baru.. tpi arahnya dpr bingung karena kira2 menteri baru sulit diajak korupsi,25,True
"Sangat setujuuuuu.... Katanya hasil keputusan berdasarkan suara terbanyak,, lah suara terbanyak itu ingin stop semua tunjangan dpr... Ingat STOP SEMUA TUNJANGAN DPR!!",24,True
Kok masuk akal yaa hehehe,6,True
Dikurangi tunjangan DPR yg jumlahnya ratusan orang untuk bayar hutang nanti setelah lunas baru dipulihkan lagi dan harusberani rampas aset koruptor buat bayar hutang,13,True
Cukup itu gaji dpr mpr tuk nyicil hutang negara,9,True
kalo di stop bakal keos,4,True
Plus tukin anggota menkeu yg capai 300% itu,3,True
"Setuju, ngomong aja DPR, gaji lu itung aja semua bisa tuh ngurangin utang",7,True
"Bukan cm DPR , masih mending DPR ada kerjanya bahas RUU , tuh para komisatis BUMN gajinya lebih gede dari DPR yg gak ada kerjanya, yg berasal dr para relawan pilpres ,tp apa ada kalian kritik? Padahal merekalah yg habisin anggaran dan merusak bumn dr dalam krn emang terdiri dr orang2 gak tau apa2 di kasih jabatan.",9,True
Dan bayar dg uang sitaan korotor saya pikir uang nya banyak sisa nya,2,True
Setuju banget. Udh muak lht tingkah mereka,5,True
bukan hanya dpr tp semua stap2 ngk penting dibelakan mentri mereka juga digaji dr negara kecuali digaji dr mentri ngk apa2,3,True
"Jokowi, anak, ponakan, mantu nya di adili semua terbukti korupsi sita semua harta kekayaan nya yg triliunan itu utk bayar hutang. Enak aja dia yg utang rakyat suruh bayar, sebenarnya dari pajak dan pengelolaan kekayaan Indonesia sudah sangat lebih dari cukup, utk sejahterakan rakyat Indonesia. Pak Prabowo meneng aja. Ada apa ini.",7,True
Cari datanya dek kalo lunas @Jerapahz,1,True
@Arazzabchennel sebutin data nya dek,2,True
"@Arazzabchennel sepakat, termasuk anis yg pakai dana APBD buat formula E dan kelebihan bayar, semoga cepat2 di pakaikan rompi orenge",3,True
"Hutang negara tidak sekonyong konyong bisa langsung dilunasi.kamu kira bayar utang ke sodaramu, Elit gelobal tidak semudah itu membebaskan hutang suatu negara,jika bisa dilunasi pun akan melewati prosesur yang sangat sulit.",0,True
DPR tuh aja yang suruh mikir dan bayar utang. Enak banget nyalahin Mentri dan hanya membebankan Mentri .,2,True
Mudah mudahan Mentri baru bisa amanah menjalankan tugas negara,3,True
"Potong ajah gajih dewan perwakilan rakyat,,",1,True
"Saya terus terang bertanya2 juga pak, selama menjabat buk srimul ngapain aja kok hutang kita masih segede gaban? Ini menkeu baru udh d cecar, gak belain sih tp ya agak kurang tepat.. Semoga menkeu baru lebih smart bisa memanfaatkan pajak yg d bayarkan rakyat utk hal2 berguna, jgn gaji pejabat mulu d gedein akhirnya kita nambah hutang lg nanti",1,True
Kabinet Prabowo juga banyak harus nya dirampingkan,4,True
"Misalkan tidak mau distop selamanya, Coba lakukan satu taahuun saja.",2,True
ganti emot nya k jangan emot senyum tapi emot harapan,0,True
Ini Mentri yg pintar,0,True
MBG juga menyedot anggaran hampir menyentuh ratusan T mending di buat nyicil UTANG,3,True
Sangat setuju,0,True
"Setuju,,Krn sebenarnya yg jdi beban rakyat y mereka itu, tunjangannya terlalu kocak",1,True
ada ga ada juga ga ada bedanya,0,True
Utang nya dilunasin atuh pak DPR dgn tunjangn maneuh eweuh jng teu kudu butuh dpr,2,True
"Terus dulu yang milih anggota dewan itu siapa , sungguh di luar nurul",1,True
Stop bantua DPR.,3,True
Setuju,0,True
kerjanya cuma debat doang harusnya dpr gajih umr daerah saja,0,True
SETUJU.,0,True
Ya mana bisa. Yg menyetujui anggaran pemerintah jg DPR. Kalau anggaran DPR ditiadakan ya anggaran pemerintah jg pasti ngga disetujui. Kecuali ganti sistem. Atau DPRnya dibubarkan.,0,True
Dan gak ada korupsi.,0,True
@iinhari8604 preketek DPR..ngomong² doang no action...nyuruh² menteri..dia yg enak² nyuruh² kemaren² kemana hoiiiii..demo terjadi ya karena laen dpr,0,True
