"cleaned_comment","likes_count"
"dibalik gaya bicaranya yg koboy, pak purbaya ini punya jiwa negarawan yang hebat yah","613"
"kita doakan saja, semoga beliau dapat mengemban tugasnya dengan baik.","28"
"tegas jg nih orang betul","12"
"smg indonesia makin makmur bersih dari korupsi mantap pk purbaya","11"
"semoga","5"
"tunggu dulu hasilnya. ini baru di mulai. jgn sampai nurunin cukai rokok ada udang dibalik bakwan.alias dapat free dari pengusaha rokok","2"
"hmm, jgn terlalu cepat menilai seseorang. tunggu beberapa bulan baru kasi penilaian. politicians are good actors","3"
"intinya tetap kawal politik kita, karna politik kita banyak udang di balik apalah, rakyat lengah dikit langsung ada yg main main bahkan org yg kita percaya sekalipun juga bisa bermain main, jgn sampe org yg kita percaya justru malah jadi maling negara tetap kawal sampe ekonomi benar benar stabil","3"
"semoga menteri lainnya juga diisi sdm pendidikan tinggi seperti bu sri dan pak purbaya kita perlu meniru para tokoh pendiri negara yang merupakan sdm terbaik di zamannya","0"
"sri mulyani penjelasan dg bahasa eksklusif, data2 statistik, teoritis, detail solusi rumit. purbaya penjelasan bahasa sederhana blak2an, tanpa perlu data tp menjabarkan fakta, kondisi nyata dilapangan, solusi dg gamblang mudah dipahami masyarakat sipil biasa.","323"
"correctif pak purbaya juga perlu data. membaca data sama pentingnya untuk memperkuat policy. data dan statistik sama pentingnya u pencapaian target gol","19"
"untuk mengelabuai masyarakat awam dengan bahasa² yg sulit di pahami","8"
"bedanya gaya pemimpin orang teknik dgn orang sosial.. orang teknik berfikir taktis utk menyelesaikan solusi.. gaya habibie kan gitu juga taktis dan cepat","6"
"sabar.. hasil kerja itu goal, sedangkan instrument butuh proses.","0"
"beliau juga pake data lohh dari kemarin tapi benar2 beliau ini berjiwa guru yang baik, diarahkan dgn gaya bahasa yang mudah dipahami","6"
"klo kta iklan ketombe,, ah teori","0"
"ya 11 12 lah, beda istilah aja. cek setahun nanti","1"
"sekarang di puja2 liat nanti 3 bulan kedepan, cari simpatik mh gampang yg sulit itu hasil nya. udah banyak yg omon2 doank..","3"
"betul sekali. sri mulyani bahasanya bersayap tipikal politisi","1"
"lebih tepatnya bahasa manusia lah yaaa hahahaha","2"
"tul,","0"
"kayaknya bu sri jarang ngejelasin masalah dan solusi yang baik selain naikin pajak mulu","1"
"secara teori beliau ini sllu memikirkan kepentingan dan kelayakan ekonomi masyrakat kecil sbgai wujud kebijakan yg bertangggung jawab sbgai bgian lembaga pemerintahan..semoga beliau kuat menghadapi tekanan demi tekanan dari berbgai mafia perdagangan dan bisnis yg sngat mnjamur dan hny memikirkan perut mereka sendri..meski harus mengorbankan kelayakan perekonomian masyarakat kecil..ayo pak..istiqomah dlm kebijakan2 yg mengutamakan kepentingan tenaga buruh masyarakat kecil dan pengusaha2 lokal..jika prinsip mengsmbil kebijakan ini berhasil di tetapkan..kehiduoan ekonomi masyatakat kecil insha allah akan terus membaik..dan pelan2 akan merubah paradigma masyarakat kecil pribumi terhadap pengusaha2 dari kalangan konglomerat wni keturunan..hal ini akan mmbntu terciptanya kerukunan hidup..kerukunan sosial di nkri..rakyat mu ga butuh jadi orang kaya semua..mereka cm butuh keadilan dan kejujuran dari setiap lembaga penerintahan dlm mengambil setiap kebijakan","1"
"deskripsi anda sangat cocok untuk dijadikan prompt gemini, dinamis, elegan dan nampak profesional","0"
"seperti biasanya disini orang baik tak selalu diterima baik kan. mudah2an menku ini konsisten dan dilindungi","340"
"aamiin yra","7"
"betul biasa orang baik berusaha disingkirkan...dan kita harus mengawal biar menku diberi kekuatan","3"
"amin saya ikut senang,","1"
"selama niatnya baik dukung","0"
"ini baru mentri punya skill dan nasionalisme indonesia.. moga bapak tetep amanah dan dilindungi allah swt amin","23"
"alhamdulillah punya menteri yang punya hati. beda dgn menteri srimulat sebelumnya","671"
"menteri srimulat bikin senyum anggota parlemen tetapi bikin melarat dan menangis rakyat","62"
"taunya cuma melayani pejabat kasi anggaran tinggi.. ke rakyat taunya pajak pajak doang. ga bisa apa2","30"
"sri sri nyahlah","5"
"srimulat","17"
"pinter sih pinter ya, secara akademik pasti rangking 1. tp sales imf, biar indo ambil dollar trs boss nya untung dpt bunganya.","11"
"luar biasa bpk mentri purbaya arif dan bijak","3"
"hahah srimulut","3"
