comment,likes_count,is_reply
"Yang saya suka dari pak purbaya ini yaitu mentalnya, beliau itu mandiri, yakin, dan berani. Semua kekacauan ini adalah ulah koruptor tapi di tangan beliau, koruptor panas dingin! Lanjutkan pak purbaya, saya yakin insyaallah anda bisa menyelesaikan masalah ekonomi Indonesia karena beliau punya skill dan mental yg bagus!",1100,False
"..baru pemanasan.kita tunggu hasilnya.mudah2an..proses perebusan airnya bisa mateng sesuai jadwal,ekonomi itu wait and see,hari ini dikemas..mungkin mggu depan baru laku,disitulah kepiawaian org ekonomi membaca arah pasar.",56,True
"Bukan koruptor saja kebijakan pemerintah yang lalu juga ikut andil bikin kacau, pajak yang dinaikan bikin rakyat tercekik akibatnya demo besar2an",29,True
King Purbaya,9,True
🎉 🎉,2,True
Awalnya...lihat..ending???,4,True
solusinya gemana..? stabil salah dikasih gebrakan salah menurut loo gemana bagusnya,3,True
Ujian pertama pak Purbaya udah muncul nih. Si Luhut merasa terusik saat Pak Purbaya mengancam BGN dan berencana akan menarik kembali Anggaran MBG yg kemarin terserap tidak sampai 50% untuk dialihkan pada hal lain. Orang2 sih banyak yg dukung pak Pur. Tapi kita lihat apakah beliau tetap pada pendirian atau malah melunak sama Luhut.,11,True
Gass kan pak Purrr jangan kendor 💪 👍 😇,2,True
"ayo rakyat dukung menkeu yang sudah belain rakyat..dan hati""banyak buzzer""yang berseliweran di medsos... 😂",7,True
"Insyaallah, akan berhasil JIKA ngk ada variabel lain contohnya seperti megathrust, Perang Dunia 3, dll.",3,True
Ya udh ga jadi lanjut nonton gue baru menit ke 2,0,True
"Iya, yg cewe diatur sama banteng",0,True
Beda dgn jeng sri..beraninya hanya sama rakyat menengah ke bawah,1,True
Klo gayanya semua suka 😂 ....,0,True
😂 😂 😂 😂 😂 😂 😂 😂,0,True
"Dia selalu tersenyum, jujur, tegas, tidak Omong-omong, lansung eksekusi bukan narasi",395,False
Betul dia ga pinter ngomong tp take action,3,True
​ @Akhmadmaulanafurqon (https://www.youtube.com/channel/UCe_OI3B041mbSSwUxWC3nXA) khas orang ITB,2,True
"Enakkan anis bansedan,, selalu narasi ""dan narasi,,, 🤭 🤣 🤦 🤦 🤦",0,True
Pak purbaya dan bu Sri mulyani adalah gambaran orangtua kita pas kita kecil minta duit ke bapak langsung jor joran giliran ke ibu sedikit dan harus hemat.,245,False
"Dan ibu suka ngambilin duit di saku bpk,",33,True
Beda kalo bpk gue pelit amit² Beda emak gue royal bgt ke anaknya 😂,12,True
Srimulyono kang palak,5,True
"Kalau pengalaman saya sih simpel banget, sering sy perhatiin kalau sepasang suami istri jualan bakso gerobak, bubur ayam, mie ayam dan sejenisnya dan mereka melayani pembeli secara bergiliran, rata2 para pembeli lebih tertarik jika yg melayani adalah suaminya pedagang tsb, malah ini jadi pemikat tersendiri shg dagangannya lebih laku bro ... ini terlihat beda dari teknis pelayanannya yg ga pelit spt porsi dan toping yg lebih berlimpah dibanding saat istri pedagangnya yg dapat giliran melayani, bikin sue, gua berani sumpah deh hehehe ... anda coba saja mulai perhatikan hahaha ... 😂",19,True
"Karena yg nyari duit bapak, makanya jor2an, kalau ibu kan ga cari duit sendiri... Kalau laki mengutamakan fikiran dan kalau wanita itu perasaan... Kira-kira mimpin pilih pake otak apa pake perasaan?? Makanya sri Mulyani naikin pajak dimana-mana dia ga mikir rakyat lagi sulit, beda dengan pak purbaya dia tau ekonomi rakyat lagi sulit makanya ga naikin pajak dan ngeringanin pajak, Bahakan ada yg di hilangkan seperti penghasilan di bawah 10 juta ga kena pajak, agar masyarakat bisa konsumtif biar uang itu muter di masyarakat... Lu tim akal atau perasaan??",2,True
"Stabil tapi meres, kebijakan2 aneh bablas",3,True
tapi ketika ada yg minta duit buat bikin ikn malah disetujui...dah tau utang sdh numpuk knp gak ditahan dulu buat ikn...? ibu mmng motonya biar tekor asal kesohor...,3,True
Pokoknya ga milih tim baperan 😂,6,True
"Nah ini gambaran paling simpelnya, mantap bro",1,True
​ @diontoi5497 (https://www.youtube.com/channel/UC84o2sKPXq4VTTe1Cqiko3g) 😅 ceritanya ini ibu kandung apa ibu tiri sih,1,True
"Ibu suka malak THR anak, ""SINI DUITNYA MAMA SIMPAN"" wkwk",0,True
Simul mintri perpajakan,0,True
Hemat apa?????..... Yg ada rakyat tambah sengsara dgn ekonomi Indonesia,0,True
Jaka sembung,0,True
"Yg sdh Bi cheking gk ada kesempatan lagi buat ajukan pinjaman modal usaha. Saat pandemi pinjam KUR buat usaha jualan malah macet, saat pandemi lewat mau ajukan pinjaman modal usaha sdh blacklist Bi cheking 🤔",0,True
"15 taun ibu membangun pondasi yang kuat, sekarang saatnya bapak membangun gedung pencakar langit",30,False
"Kenapa rakyat banyak mendukung pak pur,, karna rakyat butuh angin segar. Belasan tahun rakyat berharap sama bu sri Tpi tiap liat berita,, selaluuu yg ada cuma pajak naik,, ini di pajakin,, itu di pajakin,, motor sampek di razia pajak di sekolah , di pabrik. Daaan.. Hasil dari pajak yang gede dan memaksa itu,, gak ada... Jalanan banyak yg rujak. Rumah sakit juga kayak begitu Fasilitas umum gg memadai Jadi harus berharap apa lagi sama bu sri??? Lalu datanglah pak pur dengan segala kebijakannya. Mungkin memang belum ada hasilnya Tpi yg jelas,, rakyat punya harapan baruuu.. Harapan adanya pemerintah yang pro sama rakyaat. Semoga dengan niat baik dan doa dari semua rakyat yg ingin Indonesia lebih baik,, kebijakan pak pur akan membawa Indonesia jadi lebih baik. Aamiin",12,False
"Pemilu hasil ngutang habis MM', ya klo gk jd rampok mau bayar hutang dr mana",0,True
"Masalahnya stabilitas dari ibu Sri Mulyani sudah tidak berfungsi dgn baik. Tujuannya menarik investor asing, kenyataannya boro-boro investor baru, investor yg sudah ada malah kabur. Rakyat udah kecekek, investor malah kabur, kacau yg ada. Makanya banyak yg dukung pak Purbaya karena pendahulunya dianggap gagal total, meski tindakan pak Purbaya juga resikonya gede dan belom tentu berjalan mulus.",1000,False
Lautan fakta,45,True
Lets go to plan B -> purBaya,27,True
"Padahal investor itu melihat ekonomi Indonesia masih bagus loh untuk investasi, dan stabilitas itu penting. Mereka (investor) lebih kwatir masalah penegakan hukum/kepastian hukum.",61,True
"kak, kestabilan ekonomi itu ga ""berdiri sendiri"" tapi juga berkaitan dengan stabilitas politik dan hukum kalau politik dan hukumnya ga stabil, mau sekuat tenaga gimana pun menkeu-nya, kalau 2 faktor lain yg gw sebutkan diatas ga menudukung, maka percuma aja",50,True
"Yg membuat investor itu lari bukan hanya kebijakan2 yg rumit,tp fakta dilapangan juga tak kalah pahitnya..birokrasi di daerah juga tak kalah sadisnya,jadi rasa rasanya..siapapun yg menempati pos kemnkeu..juga akan pusing utk menjaga iklim investasi investor mau bikin pabrik..di ormasin,baru survei lahan di palakin,mumet sebetulnya..! Karena dindonesia ini sdh mendarah daging..urat jagoanismenya..dri jmn majapahit,sriwijaya hingga mataram..siapa yg berotot..dialah yg diatas..",34,True
"Resiko gede menurut gua analisis yang hiperbola sama para analis mahzab srimul. Mereka orang pinter tapi memang beda pandangan aja. Sebagai mantan Dirut LPS, Purbaya paham ini bukan bagi bagi duit gratis. Duit nganggur kita bukan cuma 200T ada 200T lebih lagi yang ga dipakai. Resiko dari sisi pemerintah dieliminasi dong, masih ada 200 T itu kok. Lagian ini bentuknya tabungan, bukan kaya deposito yang berjangka. Yang bikin ga jalan mulus dan jadi resiko itu cuma di masyarakat aja. Ada gak ilmu bisnisnya? bisa gak minjem tapi planning jelas? Mending konten kreator fokus ini. Karena gua sendiri yang lulusan jaket kuning, kalau ditanya mau buat bisnis apa juga bingung. Menjalani jika ini warisan itu Bisa, ilmu ada, cuma menajdi perintis sulit. Kalau Risk Taker di rakyat juga minim ya jangan salahin Menkeu, Rakyat aja yang ga bisa mikir.",23,True
Stabilitasnya msh berfungsi dg baik. Yang bikin kabur malah blunder2 Bosnya dan blunder2 politikus yang bikin kondisi gak stabil.. ekonomi msh konservatif,9,True
"Bagaimana investor tdk kabur kalo pajak resmi tralalu tinggi ditambah lagi pajak dr ormas2, mending kabur ke vietnam",11,True
"setuju, percuma kl branding ke investor asing bagus, pas mau invest kehalang sm preman, pajak tinggi, korupsi.. sama juga boong pada kabur investor sementara rakyatnya udah kecekek nungguin investasi masuk",11,True
"Nahhh iya betul gw setuju tapi sekarang yg bikin investor kabur tuh bukan dari menkeu doang ada dari mentri"" lain yg maksain buat datangnya investor asing contoh esdm seenak nya buka lahan ngebabat hutan seluas luas nya d tambah kemarin kan pamdemi covid blm lagi yg korupsi hampir 1000T gimana nggak kabur tuh investor, d tambah sekarang 200T d lepas gtu aja tanpa pengawasan ketat bisa bahaya apalagi pinjol judol dan hal"" konsumtif lain nya yg nggak bermanfaat yg paling parah y judol nya itu msh d pelihara",3,True
"Yg bikin rusak investor itu...pajak&ormas,birokasi berbelit ujubg ujungnya duit.. Masalah biaya pegawai itu di bilang masih masuk",2,True
"Ada dua perang besar lagi terjadi di dunia. Presiden amerika gk bisa diprediksi. kawasan asean juga lagi gk aman. Semoga gk ada event dunia aneh2 macam perang dunia atau covid. Sebagai rakyat, aku seneng-seneng aja siapapun menterinya asal hidup aku bahagia 😅",2,True
Lah analisanya malah kebalik 😅 Justru begitu Purbaya ditetapkan jadi Menkeu investor asing pd kabur..,1,True
